Place,Price,Bedroom,Bathroom,Saleable Area,Area,Region
Villa Cecil 趙苑,84800.0,3.0,2.0,195.28, Peak/South, Hong Kong Island
The Rozlyn,84000.0,4.0,2.0,139.08, Peak/South, Hong Kong Island
Repulse Bay Apartments 淺水灣花園大廈,84000.0,3.0,3.0,175.77, Peak/South, Hong Kong Island
29-31 BISNEY ROAD 碧荔道29-31號,83800.0,4.0,4.0,194.72, Mid Level West, Hong Kong Island
PACIFIC VIEW 浪琴園,83000.0,3.0,2.0,142.51, Peak/South, Hong Kong Island
Pearl Gardens 明珠台,83000.0,3.0,2.0,195.1, Mid Level West, Hong Kong Island
150 Kennedy Road 堅尼地道150號,83000.0,3.0,2.0,148.74, Happy Valley/Mid Level East, Hong Kong Island
PACIFIC VIEW 浪琴園,83000.0,3.0,2.0,142.51, Peak/South, Hong Kong Island
Kam Yuen Mansion 錦園大廈,83000.0,3.0,2.0,224.55, Mid Level Central, Hong Kong Island
Middleton Towers 明德村,82500.0,3.0,2.0,238.67, Aberdeen/Ap Lei Chau, Hong Kong Island
The Rozlyn,82000.0,4.0,2.5,139.08, Peak/South, Hong Kong Island
7 South Bay Close 南灣坊7號,82000.0,2.0,2.0,164.35, Peak/South, Hong Kong Island
Wilshire Park 豪輝閣,82000.0,4.0,3.0,171.22, Mid Level Central, Hong Kong Island
Royalton 豪峰,82000.0,4.0,3.0,152.45, Peak/South, Hong Kong Island
Kui Yuen 莒園,82000.0,4.0,2.0,236.9, Happy Valley/Mid Level East, Hong Kong Island
Cooper Villa 衛信道23-29號,82000.0,3.0,4.0,154.78, Wanchai/Causeway Bay, Hong Kong Island
Tam Towers 香港大學衡益邨譚益芳樓,82000.0,3.0,2.0,278.71, Peak/South, Hong Kong Island
PACIFIC VIEW 浪琴園,81000.0,4.0,2.0,155.52, Peak/South, Hong Kong Island
MacDonnell House 麥當奴大廈,80400.0,4.0,2.0,213.86, Mid Level Central, Hong Kong Island
HONG KONG PARKVIEW 陽明山莊,80000.0,3.0,3.0,150.87, Peak/South, Hong Kong Island
Vista Stanley,80000.0,3.0,1.0,153.75, Peak/South, Hong Kong Island
The Altitude 紀雲峰,80000.0,3.0,3.5,142.23, Happy Valley/Mid Level East, Hong Kong Island
Repulse Bay Apartments 淺水灣花園大廈,80000.0,3.0,2.0,167.69, Peak/South, Hong Kong Island
Ruby Court 嘉麟閣,80000.0,3.0,2.5,129.14, Peak/South, Hong Kong Island
Ruby Court 嘉麟閣,80000.0,3.0,2.5,129.14, Peak/South, Hong Kong Island
MY CENTRAL -,80000.0,3.0,2.0,76.83, Sheung Wan/Central/Admiralty, Hong Kong Island
Tregunter Tower 地利根德閣,80000.0,3.0,2.0,148.83, Mid Level Central, Hong Kong Island
The Repulse Bay 影灣園,79000.0,3.0,2.0,133.5, Peak/South, Hong Kong Island
PACIFIC VIEW 浪琴園,79000.0,3.0,2.0,142.51, Peak/South, Hong Kong Island
Catalina Mansion 嘉年大廈,79000.0,3.0,2.0,157.66, Mid Level Central, Hong Kong Island
The Rozlyn,78000.0,4.0,2.0,139.08, Peak/South, Hong Kong Island
The Rozlyn,78000.0,4.0,2.0,139.08, Peak/South, Hong Kong Island
The Kennedy On Belcher's 雋庭,78000.0,3.0,2.0,77.48, Kennedy Town/Sai Yin Pun, Hong Kong Island
37 REPULSE BAY ROAD 淺水灣道37號,78000.0,3.0,2.0,116.5, Peak/South, Hong Kong Island
MARINELLA 深湾九號,78000.0,3.0,2.0,128.76, Aberdeen/Ap Lei Chau, Hong Kong Island
Ming Wai Gardens 明慧園,78000.0,3.0,2.0,147.07, Peak/South, Hong Kong Island
Helene Tower 喜蓮苑,78000.0,3.0,3.0,133.5, Peak/South, Hong Kong Island
MARINELLA 深湾九號,78000.0,3.0,2.0,116.04, Aberdeen/Ap Lei Chau, Hong Kong Island
PACIFIC VIEW 浪琴園,77500.0,3.0,2.0,142.51, Peak/South, Hong Kong Island
Providence Bay 天賦海灣,75000.0,4.0,3.0,135.27, Tai Po Mid Level/Hong Lok Yuen, New Territories East
NAPA,75000.0,3.0,4.0,188.96, Tuen Mun, New Territories West
The Repulse Bay 影灣園,75000.0,3.0,2.0,133.5, Peak/South, Hong Kong Island
MARINELLA 深湾九號,75000.0,3.0,2.0,132.02, Aberdeen/Ap Lei Chau, Hong Kong Island
Greenery Garden 怡林閣,75000.0,3.0,2.0,121.61, Peak/South, Hong Kong Island
SCENIC VILLAS 美景臺,75000.0,4.0,2.5,183.76, Peak/South, Hong Kong Island
The Repulse Bay 影灣園,75000.0,3.0,3.0,133.5, Peak/South, Hong Kong Island
MY CENTRAL -,75000.0,3.0,2.0,76.83, Sheung Wan/Central/Admiralty, Hong Kong Island
Scholars Lodge 聚賢居,75000.0,3.0,2.0,179.02, Kowloon Tong/Beacon Hill, Kowloon
MARINELLA 深湾九號,74000.0,3.0,2.0,115.94, Aberdeen/Ap Lei Chau, Hong Kong Island
Alpine Court 嘉賢大廈,73000.0,4.0,2.0,157.47, Mid Level West, Hong Kong Island
Fairmont Gardens 翠錦園,73200.0,4.0,3.0,235.51, Mid Level West, Hong Kong Island
PACIFIC VIEW 浪琴園,73000.0,4.0,2.0,160.26, Peak/South, Hong Kong Island
Residence Bel-air* 貝沙灣,73000.0,3.0,2.0,126.91, Bel-Air, Hong Kong Island
Wilshire Towers 慧雅閣,73000.0,4.0,2.0,161.09, North Point/Fortress Hill, Hong Kong Island
Residence Bel-air* 貝沙灣,72000.0,3.0,3.0,121.33, Bel-Air, Hong Kong Island
Mount Pavilia 傲瀧,72000.0,4.0,2.0,140.28, Sai Kung, New Territories East
Windsor Heights 寶松苑,71000.0,4.0,2.0,195.75, Shatin, New Territories East
Fulham Garden 富林苑,70000.0,3.0,2.5,144.93, Peak/South, Hong Kong Island
AREZZO 瀚然,70000.0,3.0,2.0,85.1, Mid Level West, Hong Kong Island
Evergreen Garden 松柏花園,70000.0,4.0,3.0,149.57, Fotan/Shatin Mid Level/Kau To Shan, New Territories East
Hilltop Mansion 峰景大廈,70000.0,3.0,2.0,166.2, Mid Level North Point, Hong Kong Island
MARINELLA 深湾九號,70000.0,3.0,2.0,115.76, Aberdeen/Ap Lei Chau, Hong Kong Island
Pan Long Wan 檳榔灣,70000.0,5.0,3.5,195.1, Sai Kung, New Territories East
ALASSIO 殷然,70000.0,2.0,2.0,85.66, Mid Level West, Hong Kong Island
The Zumurud 君柏,70000.0,3.0,2.0,150.78, Ho Man Tin/King's Park, Kowloon
Villa Cecil 趙苑,69800.0,3.0,2.0,201.14, Peak/South, Hong Kong Island
Middleton Towers 明德村,69500.0,2.0,1.0,187.01, Aberdeen/Ap Lei Chau, Hong Kong Island
Pacific Palisades 寶馬山花園,69000.0,4.0,3.0,133.59, Mid Level North Point, Hong Kong Island
Shuk Yuen Building 菽園新臺,69000.0,3.0,2.5,153.85, Happy Valley/Mid Level East, Hong Kong Island
The Harbourside 君臨天下,69000.0,3.0,2.0,100.71, Kowloon Station, Kowloon
Kent Mansion 文英樓,69000.0,3.0,2.0,116.69, Kowloon Tong/Beacon Hill, Kowloon
Valverde 蔚皇居,69000.0,3.0,2.0,95.32, Mid Level Central, Hong Kong Island
One Kowloon Peak 壹號九龍山頂,69000.0,4.0,1.0,211.91, Tsuen Wan, New Territories West
WELLESLEY 帝匯豪庭,69000.0,2.0,2.0,95.04, Mid Level Central, Hong Kong Island
MY CENTRAL -,68000.0,3.0,2.0,92.53, Sheung Wan/Central/Admiralty, Hong Kong Island
MY CENTRAL -,68000.0,3.0,2.0,92.53, Sheung Wan/Central/Admiralty, Hong Kong Island
2-12 BOYCE ROAD 布思道2-12號,68000.0,3.0,3.5,113.06, Happy Valley/Mid Level East, Hong Kong Island
Sea and Sky Court 海天別墅,68000.0,3.0,2.0,140.28, Peak/South, Hong Kong Island
80 Robinson Road 羅便臣道80號,68000.0,3.0,2.0,97.73, Mid Level West, Hong Kong Island
Grand Court 嘉蘭閣,68000.0,3.0,2.0,74.23, Happy Valley/Mid Level East, Hong Kong Island
Robinson Heights 樂信臺,68000.0,3.0,2.0,98.2, Mid Level West, Hong Kong Island
"No.3 Sha Ha Path, Sai Kung 西貢沙下徑",67500.0,2.0,1.0,205.32, Sai Kung, New Territories East
Serenade 上林,67000.0,4.0,2.0,108.7, Wanchai/Causeway Bay, Hong Kong Island
Beverly Villa 碧華花園,67000.0,3.0,2.5,149.48, Kowloon Tong/Beacon Hill, Kowloon
CAPE MANSIONS 翠海別墅,66000.0,3.0,2.0,158.59, Mid Level West, Hong Kong Island
Elite Villas 怡禮苑,66000.0,3.0,2.0,150.69, Peak/South, Hong Kong Island
Le Riviera 遠晴,66000.0,3.0,2.5,119.1, Shau Kei Wan/Chai Wan/Island Resort, Hong Kong Island
Greenfields 南莊苑,65000.0,4.0,3.0,180.88, Shatin, New Territories East
MY CENTRAL -,65000.0,3.0,2.0,84.17, Sheung Wan/Central/Admiralty, Hong Kong Island
MY CENTRAL -,65000.0,3.0,2.0,84.17, Sheung Wan/Central/Admiralty, Hong Kong Island
The Grand Panorama 嘉兆臺,65000.0,3.0,2.0,119.38, Mid Level West, Hong Kong Island
80 Robinson Road 羅便臣道80號,65000.0,3.0,2.0,98.85, Mid Level West, Hong Kong Island
Cavendish Heights 嘉雲臺,65000.0,3.0,2.0,120.77, Wanchai/Causeway Bay, Hong Kong Island
80 Robinson Road 羅便臣道80號,65000.0,,1.0,95.88, Mid Level West, Hong Kong Island
Robinson Heights 樂信臺,65000.0,1.0,1.0,76.37, Mid Level West, Hong Kong Island
ALASSIO 殷然,65000.0,2.0,2.0,86.03, Mid Level West, Hong Kong Island
Mount Beacon 畢架山峰,65000.0,3.0,2.0,119.01, Kowloon Tong/Beacon Hill, Kowloon
Vista Mount Davis 華亭閣,65000.0,3.0,2.0,174.84, Peak/South, Hong Kong Island
Wah Sen Court 華星閣,65000.0,3.0,2.5,124.68, Mid Level West, Hong Kong Island
8-10 Caldecott Road 郝德傑道8-10號,65000.0,3.0,2.0,287.63, Cheung Sha Wan/Sham Shui Po, Kowloon
Hilldon 浩瀚臺,65000.0,4.0,3.5,208.85, Sai Kung, New Territories East
One Kowloon Peak 壹號九龍山頂,65000.0,4.0,3.0,171.5, Tsuen Wan, New Territories West
The Cullinan 天璽,65000.0,3.0,2.0,86.68, Kowloon Station, Kowloon
Ventris Place 雲地利台,65000.0,3.0,2.5,116.96, Happy Valley/Mid Level East, Hong Kong Island
The Leighton Hill 禮頓山,65000.0,2.0,2.0,85.84, Happy Valley/Mid Level East, Hong Kong Island
Sea and Sky Court 海天別墅,64000.0,3.0,2.0,140.28, Peak/South, Hong Kong Island
Bowen Verde,64000.0,4.0,3.0,157.94, Happy Valley/Mid Level East, Hong Kong Island
One Kowloon Peak 壹號九龍山頂,63800.0,4.0,2.5,179.12, Tsuen Wan, New Territories West
Vista Mount Davis 華亭閣,63000.0,3.0,2.0,174.84, Peak/South, Hong Kong Island
The Grand Panorama 嘉兆臺,63000.0,3.0,2.0,94.2, Mid Level West, Hong Kong Island
Villa Cecil 趙苑,62500.0,3.0,2.0,137.5, Peak/South, Hong Kong Island
The Regalis 帝鑾閣,62000.0,2.0,2.0,141.68, Peak/South, Hong Kong Island
The Regalis 帝鑾閣,62000.0,2.0,2.0,135.64, Peak/South, Hong Kong Island
REALTY GARDENS 聯邦花園,62000.0,3.0,2.0,108.32, Mid Level West, Hong Kong Island
Centre Stage 聚賢居,62000.0,3.0,2.0,75.44, Sheung Wan/Central/Admiralty, Hong Kong Island
The Arch 凱旋門,62000.0,3.0,2.0,90.67, Kowloon Station, Kowloon
150 Kennedy Road 堅尼地道150號,61000.0,3.0,2.0,114.92, Happy Valley/Mid Level East, Hong Kong Island
The Crescent 仁禮花園,60900.0,3.0,2.0,214.7, Ho Man Tin/King's Park, Kowloon
Convention Plaza Apartments 會展中心會景閣,60000.0,2.0,2.0,94.02, Wanchai/Causeway Bay, Hong Kong Island
ST. JOAN COURT 勝宗大廈,60000.0,1.0,1.0,75.16, Mid Level Central, Hong Kong Island
Apartment O - Happy Valley Apartment O - Happy Valley,60000.0,1.0,1.0,55.74, Happy Valley/Mid Level East, Hong Kong Island
Apartment O - Happy Valley Apartment O - Happy Valley,60000.0,1.0,1.0,55.74, Happy Valley/Mid Level East, Hong Kong Island
Royal Bay 御濤,60000.0,4.0,3.0,195.19, Sai Kung, New Territories East
REALTY GARDENS 聯邦花園,60000.0,1.0,2.0,108.32, Mid Level West, Hong Kong Island
Villa Monticello 清濤居,60000.0,5.0,3.0,421.22, Sai Kung, New Territories East
Taikoo Shing 太古城,60000.0,4.0,3.0,91.97, TaiKoo Shing, Hong Kong Island
Grand Austin,60000.0,4.0,2.0,111.3, Olympic Station, Kowloon
BAGUIO VILLA 碧瑤灣,60000.0,3.0,2.0,120.4, Peak/South, Hong Kong Island
The Cullinan 天璽,60000.0,3.0,2.0,86.21, Kowloon Station, Kowloon
5G-5H Bowen Road 寶雲道5G-5H號,60000.0,2.0,3.0,93.83, Mid Level Central, Hong Kong Island
ST. JOAN COURT 勝宗大廈,60000.0,1.0,1.0,75.16, Mid Level Central, Hong Kong Island
Bowen Verde,59500.0,3.0,2.0,133.32, Happy Valley/Mid Level East, Hong Kong Island
Violet Garden 紫蘭花園,59000.0,5.0,3.0,134.71, Sai Kung, New Territories East
Pak Kong Village House,59000.0,4.0,4.0,195.1, Sai Kung, New Territories East
Grand Austin,59000.0,3.0,2.0,86.68, Olympic Station, Kowloon
St. Louis Mansion 雨時大廈,58000.0,1.0,1.0,69.96, Mid Level Central, Hong Kong Island
Cadogan 加多近山,58000.0,3.0,2.0,85.01, Kennedy Town/Sai Yin Pun, Hong Kong Island
Hollywood Mews 荷李活道61-63號,58000.0,2.0,2.0,64.29, Sheung Wan/Central/Admiralty, Hong Kong Island
Star Crest 星域軒,58000.0,3.0,2.0,80.36, Wanchai/Causeway Bay, Hong Kong Island
DRAGONVIEW COURT 龍騰閣,58000.0,3.0,2.0,112.97, Mid Level West, Hong Kong Island
MY CENTRAL -,58000.0,3.0,2.0,84.17, Sheung Wan/Central/Admiralty, Hong Kong Island
Royal Bay 御濤,58000.0,4.0,5.0,194.26, Sai Kung, New Territories East
Royal Bay 御濤,58000.0,4.0,5.0,194.26, Sai Kung, New Territories East
The Masterpiece 名鑄,58000.0,2.0,2.5,111.76, Tsimshatsui/Jordan, Kowloon
Greenville Gardens 嘉苑,58000.0,3.0,2.5,111.67, Happy Valley/Mid Level East, Hong Kong Island
Villa Rocha 樂翠台,58000.0,3.0,2.0,104.89, Happy Valley/Mid Level East, Hong Kong Island
Shiu Fai Terrace Garden 肇輝臺花園,57500.0,3.0,2.0,112.97, Happy Valley/Mid Level East, Hong Kong Island
Bowen Verde,57500.0,3.0,2.0,133.32, Happy Valley/Mid Level East, Hong Kong Island
Convention Plaza Apartments 會展中心會景閣,58000.0,2.0,1.0,94.02, Wanchai/Causeway Bay, Hong Kong Island
Discovery Bay 愉景灣,58000.0,3.0,2.5,129.79, Discovery Bay/Islands, New Territories West
Marina Cove 匡湖居,57000.0,,1.0,127.56, Sai Kung, New Territories East
ST. JOAN COURT 勝宗大廈,56000.0,1.0,1.0,75.16, Mid Level Central, Hong Kong Island
Best View Court 好景大廈,56000.0,2.0,2.0,121.8, Mid Level Central, Hong Kong Island
Best View Court 好景大廈,56000.0,3.0,2.0,121.8, Mid Level Central, Hong Kong Island
Royal Bay 御濤,56000.0,4.0,5.0,194.26, Sai Kung, New Territories East
Centre Point 尚賢居,55000.0,3.0,2.0,69.03, Sheung Wan/Central/Admiralty, Hong Kong Island
Ping On Mansion 平安大廈,55000.0,2.0,1.0,72.93, Mid Level West, Hong Kong Island
REALTY GARDENS 聯邦花園,55000.0,3.0,2.0,108.32, Mid Level West, Hong Kong Island
ST. JOAN COURT 勝宗大廈,55000.0,2.0,1.0,93.09, Mid Level Central, Hong Kong Island
Beverly Hill 比華利山,55000.0,4.0,2.0,153.66, Happy Valley/Mid Level East, Hong Kong Island
Michelia Michelia,55000.0,3.0,2.0,138.89, Tung Chung, New Territories West
Michelia Michelia,55000.0,3.0,2.0,138.89, Tung Chung, New Territories West
IMPERIAL COURT 帝豪閣,55000.0,3.0,2.0,95.41, Mid Level West, Hong Kong Island
The Regalis 帝鑾閣,55000.0,3.0,2.0,115.2, Peak/South, Hong Kong Island
Altro 懿山,55000.0,3.0,2.0,74.32, Kennedy Town/Sai Yin Pun, Hong Kong Island
The Masterpiece 名鑄,55000.0,2.0,2.0,105.26, Tsimshatsui/Jordan, Kowloon
Kingsford Garden 晶輝花園,55000.0,3.0,2.5,92.53, Happy Valley/Mid Level East, Hong Kong Island
BAGUIO VILLA 碧瑤灣,55000.0,3.0,2.0,125.42, Peak/South, Hong Kong Island
44 Robinson Road 羅便臣道44號,55000.0,2.0,2.0,78.22, Mid Level West, Hong Kong Island
MY CENTRAL -,55000.0,3.0,2.0,84.36, Sheung Wan/Central/Admiralty, Hong Kong Island
80 Robinson Road 羅便臣道80號,55000.0,2.0,2.0,80.36, Mid Level West, Hong Kong Island
The Rozlyn,54000.0,3.0,2.0,96.15, Peak/South, Hong Kong Island
Fairview Mansion 華爾大廈,53800.0,3.0,2.5,157.01, Wanchai/Causeway Bay, Hong Kong Island
The Regalis 帝鑾閣,53000.0,3.0,3.0,104.7, Peak/South, Hong Kong Island
HARBOUR GLORY 維港頌,53000.0,3.0,2.0,96.8, North Point/Fortress Hill, Hong Kong Island
REALTY GARDENS 聯邦花園,53000.0,3.0,2.0,108.32, Mid Level West, Hong Kong Island
Resiglow - Happy Valley,53000.0,2.0,2.0,64.85, Happy Valley/Mid Level East, Hong Kong Island
One Wanchai,53000.0,3.0,2.0,78.78, Wanchai/Causeway Bay, Hong Kong Island
Golden Fair Mansion 金輝大廈,53000.0,3.0,2.0,103.96, Happy Valley/Mid Level East, Hong Kong Island
San Francisco Towers 金山花園,52000.0,3.0,2.0,84.54, Happy Valley/Mid Level East, Hong Kong Island
ST. JOAN COURT 勝宗大廈,52000.0,2.0,1.0,93.09, Mid Level Central, Hong Kong Island
REALTY GARDENS 聯邦花園,52000.0,2.0,2.0,108.32, Mid Level West, Hong Kong Island
77-79 Wong Nai Chung Road 黃泥涌道77-79號,52000.0,2.0,2.0,138.89, Happy Valley/Mid Level East, Hong Kong Island
79 Wong Nai Chung Road,52000.0,2.0,2.0,104.52, Happy Valley/Mid Level East, Hong Kong Island
Les Saisons 逸濤灣,52000.0,3.0,2.5,79.9, Shau Kei Wan/Chai Wan/Island Resort, Hong Kong Island
GRAMERCY 瑧環,51500.0,2.0,1.0,60.39, Mid Level West, Hong Kong Island
Kennedy Court 顯輝豪庭,51500.0,3.0,2.0,89.56, Wanchai/Causeway Bay, Hong Kong Island
ST. JOAN COURT 勝宗大廈,51000.0,2.0,1.0,93.09, Mid Level Central, Hong Kong Island
ST. JOAN COURT 勝宗大廈,51000.0,2.0,1.0,93.09, Mid Level Central, Hong Kong Island
ST. JOAN COURT 勝宗大廈,50000.0,2.0,1.0,93.09, Mid Level Central, Hong Kong Island
Grand Promenade 嘉亨灣,50000.0,3.0,2.0,87.51, Lei King Wan/Grand Promenade/Les Saisons/Sai Wan Ho, Hong Kong Island
MY CENTRAL -,50000.0,3.0,2.0,84.17, Sheung Wan/Central/Admiralty, Hong Kong Island
Centre Point 尚賢居,50000.0,3.0,2.0,72.37, Sheung Wan/Central/Admiralty, Hong Kong Island
Island Crest 縉城峰,50000.0,3.0,2.0,74.79, Kennedy Town/Sai Yin Pun, Hong Kong Island
Resiglow - Happy Valley,50000.0,2.0,1.0,53.98, Happy Valley/Mid Level East, Hong Kong Island
MY CENTRAL -,50000.0,3.0,2.0,84.17, Sheung Wan/Central/Admiralty, Hong Kong Island
MY CENTRAL -,50000.0,3.0,2.0,84.17, Sheung Wan/Central/Admiralty, Hong Kong Island
MY CENTRAL -,50000.0,3.0,2.0,84.17, Sheung Wan/Central/Admiralty, Hong Kong Island
Resiglow - Happy Valley,50000.0,2.0,,57.51, Happy Valley/Mid Level East, Hong Kong Island
Shek Mun Kap 石門甲,50000.0,3.0,2.0,176.52, Tung Chung, New Territories West
Hilldon 浩瀚臺,50000.0,3.0,2.5,142.42, Sai Kung, New Territories East
The Argyle The Argyle,49200.0,3.0,1.0,91.04, Ho Man Tin/King's Park, Kowloon
Resiglow - Happy Valley,49000.0,2.0,2.0,64.85, Happy Valley/Mid Level East, Hong Kong Island
IMPERIAL COURT 帝豪閣,49000.0,3.0,2.0,93.09, Mid Level West, Hong Kong Island
ST. JOAN COURT 勝宗大廈,49000.0,1.0,1.0,75.16, Mid Level Central, Hong Kong Island
ST. JOAN COURT 勝宗大廈,49000.0,1.0,1.0,75.16, Mid Level Central, Hong Kong Island
Hillsborough Court 曉峰閣,49000.0,2.0,1.0,71.54, Mid Level Central, Hong Kong Island
MY CENTRAL -,49000.0,2.0,2.0,62.62, Sheung Wan/Central/Admiralty, Hong Kong Island
Kennedy Court 顯輝豪庭,49000.0,3.0,2.0,99.41, Wanchai/Causeway Bay, Hong Kong Island
The Luna The Luna,49000.0,2.0,1.0,61.04, Wanchai/Causeway Bay, Hong Kong Island
Pacific Palisades 寶馬山花園,48000.0,3.0,2.0,85.47, Mid Level North Point, Hong Kong Island
42 Robinson Road 羅便臣道42號,48000.0,1.0,1.0,65.22, Mid Level West, Hong Kong Island
Soho 189 西浦,48000.0,3.0,2.0,69.21, Kennedy Town/Sai Yin Pun, Hong Kong Island
The Mount Austin The Mount Austin,48000.0,2.0,2.0,68.19, Peak/South, Hong Kong Island
Island Crest 縉城峰,48000.0,3.0,1.0,70.51, Kennedy Town/Sai Yin Pun, Hong Kong Island
Prospect Mansion 海灣大廈,48000.0,3.0,1.0,91.04, Wanchai/Causeway Bay, Hong Kong Island
Glen Haven 嘉麗園,48000.0,3.0,2.5,105.26, Ho Man Tin/King's Park, Kowloon
Grand Austin,48000.0,3.0,2.0,82.87, Olympic Station, Kowloon
Bamboo Grove 竹林苑,48000.0,1.0,1.0,67.82, Wanchai/Causeway Bay, Hong Kong Island
The Masterpiece 名鑄,48000.0,3.0,2.0,75.9, Tsimshatsui/Jordan, Kowloon
Haywood Mansion 海華大廈,47000.0,3.0,2.0,123.38, Wanchai/Causeway Bay, Hong Kong Island
MERRY COURT 美麗閣,47000.0,3.0,2.0,87.42, Mid Level West, Hong Kong Island
The Staunton 昇寓,46800.0,1.0,1.0,37.07, Mid Level Central, Hong Kong Island
Kam Kin Mansion 金堅大廈,46800.0,4.0,2.0,97.64, Mid Level West, Hong Kong Island
Resiglow - Happy Valley,46500.0,2.0,1.0,64.85, Happy Valley/Mid Level East, Hong Kong Island
Convention Plaza Apartments 會展中心會景閣,47000.0,2.0,1.0,86.68, Wanchai/Causeway Bay, Hong Kong Island
Resiglow - Pokfulam -,46200.0,2.0,1.0,51.19, Kennedy Town/Sai Yin Pun, Hong Kong Island
SCENECLIFF 承德山莊,46000.0,2.0,2.0,87.51, Mid Level West, Hong Kong Island
62B Robinson Road 愛富華庭,46000.0,3.0,2.0,77.11, Mid Level West, Hong Kong Island
Celeste Court 蔚雲閣,46000.0,3.0,2.5,87.89, Happy Valley/Mid Level East, Hong Kong Island
38B Kennedy Road 堅尼地道38B號,46000.0,3.0,1.5,111.48, Mid Level Central, Hong Kong Island
The Argyle The Argyle,45200.0,3.0,1.0,91.04, Ho Man Tin/King's Park, Kowloon
Grand Deco Tower 帝后臺,45000.0,4.0,2.0,96.15, Wanchai/Causeway Bay, Hong Kong Island
Grandview Tower 慧景臺,45000.0,3.0,2.0,68.28, Mid Level West, Hong Kong Island
1 U Lam Terrace 裕林臺 1 號,45000.0,1.0,1.0,54.81, Sheung Wan/Central/Admiralty, Hong Kong Island
2 Park Road 柏道2號,45000.0,3.0,2.0,74.23, Mid Level West, Hong Kong Island
Grand Deco Tower 帝后臺,45000.0,3.0,2.0,96.15, Wanchai/Causeway Bay, Hong Kong Island
Pacific Palisades 寶馬山花園,45000.0,3.0,1.0,85.47, Mid Level North Point, Hong Kong Island
Pacific Palisades 寶馬山花園,45000.0,3.0,2.0,85.47, Mid Level North Point, Hong Kong Island
Pacific Palisades 寶馬山花園,45000.0,3.0,2.0,85.47, Mid Level North Point, Hong Kong Island
Helena Garden 海倫苑,45000.0,3.0,2.5,106.37, Mongkok/Yaumatei, Kowloon
Crescent Heights 月陶居,45000.0,3.0,2.0,93.09, Happy Valley/Mid Level East, Hong Kong Island
Hillsborough Court 曉峰閣,45000.0,2.0,1.0,71.54, Mid Level Central, Hong Kong Island
The Victoria Towers 港景峰,45000.0,3.0,2.0,73.58, Tsimshatsui/Jordan, Kowloon
Pacific Palisades 寶馬山花園,45000.0,3.0,1.0,85.47, Mid Level North Point, Hong Kong Island
Mayfair by the Sea 逸瓏灣,45000.0,3.0,2.0,98.57, Tai Po Market/Tai Wo, New Territories East
Resiglow - Happy Valley,44500.0,2.0,1.0,64.85, Happy Valley/Mid Level East, Hong Kong Island
Fleur Pavilia 柏蔚山,44400.0,3.0,2.0,77.3, North Point/Fortress Hill, Hong Kong Island
Kennedy Court 顯輝豪庭,44000.0,3.0,1.0,81.29, Wanchai/Causeway Bay, Hong Kong Island
Causeway Bay Mansion 銅鑼灣大廈,44000.0,3.0,2.0,112.51, Wanchai/Causeway Bay, Hong Kong Island
Resiglow - Pokfulam -,43300.0,2.0,1.0,51.19, Kennedy Town/Sai Yin Pun, Hong Kong Island
Le Printemps <春瑤軒>,43000.0,3.0,2.0,103.87, Lei King Wan/Grand Promenade/Les Saisons/Sai Wan Ho, Hong Kong Island
Carmen's Garden 嘉文花園,43000.0,1.0,1.0,80.08, Tsimshatsui/Jordan, Kowloon
Resiglow - Happy Valley,43000.0,2.0,1.0,57.51, Happy Valley/Mid Level East, Hong Kong Island
Po Hing Mansion 寶慶大廈,43000.0,1.0,1.0,55.18, Sheung Wan/Central/Admiralty, Hong Kong Island
Kingston Building 京士頓大廈,43000.0,3.0,2.0,83.71, Wanchai/Causeway Bay, Hong Kong Island
Les Saisons 逸濤灣,43000.0,3.0,2.0,80.36, Shau Kei Wan/Chai Wan/Island Resort, Hong Kong Island
Victoria Centre 維多利中心,43000.0,3.0,2.0,95.78, Wanchai/Causeway Bay, Hong Kong Island
Haywood Mansion 海華大廈,43000.0,3.0,1.0,94.3, Wanchai/Causeway Bay, Hong Kong Island
CAINE BUILDING 廣堅大廈,43000.0,1.0,1.0,40.51, Mid Level West, Hong Kong Island
Resiglow - Pokfulam -,42900.0,2.0,1.0,51.19, Kennedy Town/Sai Yin Pun, Hong Kong Island
Resiglow - Pokfulam -,42600.0,2.0,1.0,51.19, Kennedy Town/Sai Yin Pun, Hong Kong Island
Pacific Palisades 寶馬山花園,42000.0,3.0,2.0,77.11, Mid Level North Point, Hong Kong Island
Pacific Palisades 寶馬山花園,42000.0,3.0,2.0,79.62, Mid Level North Point, Hong Kong Island
Pacific Palisades 寶馬山花園,42000.0,3.0,2.0,78.5, Mid Level North Point, Hong Kong Island
GLORY HEIGHTS 嘉和苑,42000.0,3.0,2.0,69.68, Mid Level West, Hong Kong Island
Fung Wah Court 鳳華閣,42000.0,3.0,2.0,98.57, Kowloon Tong/Beacon Hill, Kowloon
62B Robinson Road 愛富華庭,42000.0,3.0,2.0,77.11, Mid Level West, Hong Kong Island
62B Robinson Road 愛富華庭,42000.0,3.0,2.0,77.11, Mid Level West, Hong Kong Island
Pacific Palisades 寶馬山花園,42000.0,3.0,1.0,75.72, Mid Level North Point, Hong Kong Island
Bay View Mansion 灣景樓,42000.0,,,74.32, Wanchai/Causeway Bay, Hong Kong Island
The Belcher's 寶翠園,42000.0,2.0,1.0,70.14, Kennedy Town/Sai Yin Pun, Hong Kong Island
