Place,Price,Bedroom,Bathroom,Saleable Area,Area,Region
Branksome Grande 蘭心閣,154000.0,3.0,2.0,218.69, Mid Level Central, Hong Kong Island
High Cliff 曉廬,153000.0,1.0,1.0,242.76, Happy Valley/Mid Level East, Hong Kong Island
Queen's Garden 裕景花園,150100.0,3.0,2.0,209.03, Mid Level Central, Hong Kong Island
THE REDHILL PENINSULA 紅山半島,150000.0,4.0,2.0,240.43, Peak/South, Hong Kong Island
The Lily 淺水灣道129號,150000.0,4.0,3.0,237.65, Peak/South, Hong Kong Island
THE REDHILL PENINSULA 紅山半島,150000.0,,1.0,372.54, Peak/South, Hong Kong Island
Branksome Grande 蘭心閣,150000.0,3.0,2.0,218.69, Mid Level Central, Hong Kong Island
3 Headland Road 赫蘭道3號,150000.0,3.0,3.0,257.16, Peak/South, Hong Kong Island
Clovelly Court 嘉富麗苑,150000.0,4.0,3.5,218.14, Mid Level Central, Hong Kong Island
3 Headland Road 赫蘭道3號,150000.0,4.0,2.0,251.95, Peak/South, Hong Kong Island
Branksome Grande 蘭心閣,150000.0,3.0,2.0,218.69, Mid Level Central, Hong Kong Island
La Hacienda,150000.0,4.0,3.0,266.17, Peak/South, Hong Kong Island
MARINELLA 深湾九號,150000.0,4.0,3.0,181.07, Aberdeen/Ap Lei Chau, Hong Kong Island
Eredine 七重天大廈,150000.0,3.0,3.0,268.77, Peak/South, Hong Kong Island
Springfield Gardens 春暉園,150000.0,3.0,3.0,227.98, Peak/South, Hong Kong Island
The Lily 淺水灣道129號,150000.0,4.0,3.0,234.02, Peak/South, Hong Kong Island
GRAND GARDEN 華景園,150000.0,4.0,3.0,230.59, Peak/South, Hong Kong Island
Monte Verde 南山別墅,150000.0,4.0,3.0,182.18, Peak/South, Hong Kong Island
The Drake The Drake,150000.0,5.0,5.0,455.5, Tuen Mun, New Territories West
The Drake The Drake,150000.0,5.0,5.0,455.32, Tuen Mun, New Territories West
61-63 Deep Water Bay Road 深水灣道61-63號,149000.0,4.0,2.0,263.66, Peak/South, Hong Kong Island
Belvedere Close,149000.0,5.0,1.0,330.73, Peak/South, Hong Kong Island
The Mount Austin The Mount Austin,148000.0,4.0,4.0,189.34, Peak/South, Hong Kong Island
The Summit 御峰,148000.0,4.0,2.0,220.64, Happy Valley/Mid Level East, Hong Kong Island
The Mount Austin The Mount Austin,148000.0,4.0,4.0,189.34, Peak/South, Hong Kong Island
The Mount Austin The Mount Austin,148000.0,4.0,4.0,189.34, Peak/South, Hong Kong Island
Chantilly 肇輝臺6號,147000.0,4.0,4.0,260.59, Happy Valley/Mid Level East, Hong Kong Island
MANDERLY GARDEN 文禮苑,146400.0,4.0,3.0,299.61, Peak/South, Hong Kong Island
Branksome Grande 蘭心閣,146000.0,3.0,2.0,218.69, Mid Level Central, Hong Kong Island
Grosvenor Place 淺水灣道117號,145000.0,4.0,3.0,183.48, Peak/South, Hong Kong Island
Fairmount Terrace 淺水灣道127號,145000.0,4.0,1.0,216.84, Peak/South, Hong Kong Island
Aigburth 譽皇居,145000.0,4.0,2.0,196.86, Mid Level Central, Hong Kong Island
8 Deep Water Bay Road 深水灣道8號,145000.0,4.0,2.0,278.71, Southern District/Repulse Bay, Hong Kong Island
Aigburth 譽皇居,145000.0,3.0,2.0,196.86, Mid Level Central, Hong Kong Island
Queen's Garden 裕景花園,142300.0,3.0,3.0,234.12, Mid Level Central, Hong Kong Island
High Cliff 曉廬,142000.0,4.0,3.0,240.8, Happy Valley/Mid Level East, Hong Kong Island
La Hacienda,140000.0,3.0,4.0,254.0, Peak/South, Hong Kong Island
PACIFIC VIEW 浪琴園,140000.0,3.0,2.0,250.09, Peak/South, Hong Kong Island
Pine Lodge 松苑,140000.0,4.0,3.5,231.7, Peak/South, Hong Kong Island
HONG KONG PARKVIEW 陽明山莊,140000.0,4.0,3.0,243.96, Peak/South, Hong Kong Island
Regence Royale 富匯豪庭,140000.0,3.0,3.0,200.02, Mid Level Central, Hong Kong Island
Queen's Garden 裕景花園,139100.0,3.0,2.0,198.91, Mid Level Central, Hong Kong Island
Estoril Court 愛都大廈,140000.0,4.0,3.0,278.62, Mid Level Central, Hong Kong Island
Queen's Garden 裕景花園,139000.0,4.0,3.0,205.13, Mid Level Central, Hong Kong Island
The Mount Austin The Mount Austin,138000.0,4.0,4.0,194.82, Peak/South, Hong Kong Island
The Albany 雅賓利,138000.0,3.0,2.0,180.98, Mid Level Central, Hong Kong Island
HONG KONG PARKVIEW 陽明山莊,135000.0,4.0,3.0,203.27, Peak/South, Hong Kong Island
The Mount Austin The Mount Austin,135000.0,4.0,4.0,241.55, Peak/South, Hong Kong Island
HONG KONG PARKVIEW 陽明山莊,135000.0,5.0,3.0,243.96, Peak/South, Hong Kong Island
Horizon Crest 皓海居,135000.0,4.0,3.0,208.47, Peak/South, Hong Kong Island
Fairmount Terrace 淺水灣道127號,135000.0,4.0,1.0,216.84, Peak/South, Hong Kong Island
Magazine Gap Towers 馬己仙峽道15號,135000.0,3.0,1.0,176.52, Peak/South, Hong Kong Island
HONG KONG PARKVIEW 陽明山莊,134000.0,5.0,3.0,243.96, Peak/South, Hong Kong Island
The Albany 雅賓利,133000.0,3.0,3.5,180.98, Mid Level Central, Hong Kong Island
Clovelly Court 嘉富麗苑,133000.0,4.0,2.5,218.14, Mid Level Central, Hong Kong Island
Magazine Gap Towers 馬己仙峽道15號,133000.0,3.0,1.0,176.52, Peak/South, Hong Kong Island
Magazine Gap Towers 馬己仙峽道15號,133000.0,3.0,2.0,176.52, Peak/South, Hong Kong Island
THE REDHILL PENINSULA 紅山半島,130000.0,,,273.88, Peak/South, Hong Kong Island
La Hacienda,130000.0,3.0,3.0,224.36, Peak/South, Hong Kong Island
Regalia Bay 富豪海灣,130000.0,4.0,5.5,261.43, Peak/South, Hong Kong Island
HONG KONG PARKVIEW 陽明山莊,130000.0,4.0,3.0,243.96, Peak/South, Hong Kong Island
MARINELLA 深湾九號,130000.0,4.0,3.0,167.88, Aberdeen/Ap Lei Chau, Hong Kong Island
The Lily 淺水灣道129號,130000.0,4.0,2.0,258.55, Peak/South, Hong Kong Island
Stanley Court 海灣園,130000.0,4.0,2.5,190.36, Peak/South, Hong Kong Island
Pine Grove 蘊真閣,130000.0,4.0,2.0,348.39, Peak/South, Hong Kong Island
Belgravia -,130000.0,3.0,2.0,174.19, Peak/South, Hong Kong Island
Bowen's Lookout 寶雲道13號,129000.0,4.0,3.0,157.66, Mid Level Central, Hong Kong Island
THE REDHILL PENINSULA 紅山半島,129000.0,,,273.88, Peak/South, Hong Kong Island
The Leighton Hill 禮頓山,129000.0,4.0,2.0,160.16, Happy Valley/Mid Level East, Hong Kong Island
8 Deep Water Bay Road 深水灣道8號,129000.0,4.0,3.5,278.71, Southern District/Repulse Bay, Hong Kong Island
THE REDHILL PENINSULA 紅山半島,128000.0,,,273.88, Peak/South, Hong Kong Island
Bamboo Grove 竹林苑,128000.0,3.0,2.0,148.09, Wanchai/Causeway Bay, Hong Kong Island
The Repulse Bay 影灣園,128000.0,3.0,1.0,229.56, Peak/South, Hong Kong Island
The Waterfront 漾日居,128000.0,4.0,3.0,185.71, Tsimshatsui/Jordan, Kowloon
ST. JOAN COURT 勝宗大廈,125000.0,2.0,2.0,158.96, Mid Level Central, Hong Kong Island
