Place,Price,Bedroom,Bathroom,Saleable Area,Area,Region
THE REDHILL PENINSULA 紅山半島,105189000.0,4.0,4.0,259.01, Peak/South, Hong Kong Island
The Cullinan 天璽,105000000.0,4.0,3.0,125.98, Kowloon Station, Kowloon
Ruby Court 嘉麟閣,105000000.0,3.0,2.5,164.9, Peak/South, Hong Kong Island
Century Tower 世紀大廈,105000000.0,4.0,3.0,264.59, Mid Level Central, Hong Kong Island
THE REDHILL PENINSULA 紅山半島,103579000.0,4.0,4.0,259.01, Peak/South, Hong Kong Island
THE REDHILL PENINSULA 紅山半島,103411000.0,4.0,4.0,259.01, Peak/South, Hong Kong Island
THE REDHILL PENINSULA 紅山半島,103283000.0,4.0,4.0,259.01, Peak/South, Hong Kong Island
THE REDHILL PENINSULA 紅山半島,102899000.0,4.0,4.0,259.01, Peak/South, Hong Kong Island
THE REDHILL PENINSULA 紅山半島,99000000.0,4.0,3.0,243.68, Peak/South, Hong Kong Island
Celestial Heights 半山壹號,95000000.0,4.0,5.0,219.16, Ho Man Tin/King's Park, Kowloon
Regalia Bay 富豪海灣,95000000.0,5.0,4.0,282.52, Peak/South, Hong Kong Island
Stanley Knoll STANLEY KNOLL,95000000.0,4.0,3.0,241.08, Peak/South, Hong Kong Island
L'Harmonie 葆琳居,95000000.0,4.0,5.0,243.13, Peak/South, Hong Kong Island
The Masterpiece 名鑄,95000000.0,3.0,3.0,160.16, Tsimshatsui/Jordan, Kowloon
The Masterpiece 名鑄,93000000.0,5.0,3.0,221.11, Tsimshatsui/Jordan, Kowloon
Argenta 珒然,92000000.0,3.0,3.5,197.23, Mid Level West, Hong Kong Island
SEYMOUR 懿峰,91500000.0,4.0,2.0,160.91, Mid Level West, Hong Kong Island
The Cullinan 天璽,90000000.0,4.0,3.0,132.11, Kowloon Station, Kowloon
Park Place 雅柏苑,90000000.0,3.0,2.0,196.3, Peak/South, Hong Kong Island
Evergreen Garden 松柏花園,90000000.0,4.0,4.0,187.2, Peak/South, Hong Kong Island
Regalia Bay 富豪海灣,90000000.0,4.0,4.5,281.87, Peak/South, Hong Kong Island
Residence Bel-air* 貝沙灣,90000000.0,4.0,3.5,167.04, Bel-Air, Hong Kong Island
Kennedy Park At Central 君珀,90000000.0,3.0,2.0,138.15, Mid Level Central, Hong Kong Island
Kennedy Park At Central 君珀,90000000.0,3.0,3.5,134.9, Mid Level Central, Hong Kong Island
Clovelly Court 嘉富麗苑,90000000.0,4.0,2.0,218.14, Mid Level Central, Hong Kong Island
MARINELLA 深湾九號,90000000.0,4.0,3.0,181.07, Aberdeen/Ap Lei Chau, Hong Kong Island
MARINELLA 深湾九號,90000000.0,4.0,3.0,167.88, Aberdeen/Ap Lei Chau, Hong Kong Island
MARINELLA 深湾九號,90000000.0,4.0,3.0,181.07, Aberdeen/Ap Lei Chau, Hong Kong Island
Junk Bay Villas 雅景別墅,90000000.0,6.0,4.0,305.28, Sai Kung, New Territories East
Estoril Court 愛都大廈,88000000.0,4.0,3.5,268.3, Mid Level Central, Hong Kong Island
ALASSIO 殷然,88000000.0,4.0,3.0,153.66, Mid Level West, Hong Kong Island
Convention Plaza Apartments 會展中心會景閣,89000000.0,3.0,1.0,207.55, Wanchai/Causeway Bay, Hong Kong Island
MARINELLA 深湾九號,87000000.0,4.0,3.0,167.88, Aberdeen/Ap Lei Chau, Hong Kong Island
31 Robinson Road 羅便臣道31號,87000000.0,4.0,3.0,162.21, Mid Level West, Hong Kong Island
THE REDHILL PENINSULA 紅山半島,86000000.0,4.0,3.5,243.68, Peak/South, Hong Kong Island
Fontana Gardens 豪園,86000000.0,4.0,3.0,249.91, Wanchai/Causeway Bay, Hong Kong Island
Dynasty Court 帝景園,85500000.0,4.0,2.5,200.02, Mid Level Central, Hong Kong Island
Regalia Bay 富豪海灣,85000000.0,4.0,6.5,281.87, Peak/South, Hong Kong Island
SEYMOUR 懿峰,85000000.0,3.0,3.0,160.91, Mid Level West, Hong Kong Island
San Shek Wan Village 䃟石灣村,85000000.0,5.0,,394.84, Southern District/Repulse Bay, Hong Kong Island
MARINELLA 深湾九號,84500000.0,4.0,3.0,181.07, Aberdeen/Ap Lei Chau, Hong Kong Island
THE REDHILL PENINSULA 紅山半島,83000000.0,4.0,3.5,263.47, Peak/South, Hong Kong Island
One Beacon Hill 畢架山一號,83000000.0,4.0,3.0,195.19, Kowloon Tong/Beacon Hill, Kowloon
One Beacon Hill 畢架山一號,83000000.0,4.0,3.0,195.19, Kowloon Tong/Beacon Hill, Kowloon
REPULSE BAY GARDEN 淺水灣麗景園,82000000.0,3.0,3.0,190.36, Peak/South, Hong Kong Island
Splendour Villa 雅景閣,80000000.0,3.0,5.0,203.18, Peak/South, Hong Kong Island
Century Tower 世紀大廈,80000000.0,2.0,2.0,189.62, Mid Level Central, Hong Kong Island
Royalton 豪峰,80000000.0,4.0,4.0,199.37, Peak/South, Hong Kong Island
31 Robinson Road 羅便臣道31號,80000000.0,2.0,3.0,184.88, Mid Level West, Hong Kong Island
SEYMOUR 懿峰,80000000.0,5.0,2.0,160.91, Mid Level West, Hong Kong Island
Belgravia -,79000000.0,4.0,3.0,204.11, Peak/South, Hong Kong Island
Regalia Bay 富豪海灣,78800000.0,4.0,5.5,261.43, Peak/South, Hong Kong Island
55 Conduit Road 璈珀,78000000.0,3.0,4.0,142.88, Mid Level West, Hong Kong Island
THE REDHILL PENINSULA 紅山半島,78000000.0,4.0,3.5,239.97, Peak/South, Hong Kong Island
Hollywood Heights 好利閣,78000000.0,3.0,4.0,210.89, Mid Level Central, Hong Kong Island
Serenade 上林,78000000.0,4.0,3.5,182.65, Wanchai/Causeway Bay, Hong Kong Island
SEYMOUR 懿峰,78000000.0,3.0,3.0,129.88, Mid Level West, Hong Kong Island
1 Robinson Road 羅便臣道1號,76980000.0,4.0,4.5,243.96, Mid Level Central, Hong Kong Island
Kennedy Park At Central 君珀,76000000.0,3.0,3.0,134.9, Mid Level Central, Hong Kong Island
Tavistock II 騰皇居 II,75000000.0,3.0,2.0,141.21, Mid Level Central, Hong Kong Island
REPULSE BAY GARDEN 淺水灣麗景園,75000000.0,3.0,3.0,190.36, Peak/South, Hong Kong Island
Valais 天巒,75000000.0,3.0,4.0,259.39, Sheung Shui/Fanling, New Territories East
SEYMOUR 懿峰,75000000.0,5.0,2.0,160.91, Mid Level West, Hong Kong Island
MARINELLA 深湾九號,75000000.0,4.0,3.0,167.88, Aberdeen/Ap Lei Chau, Hong Kong Island
SEYMOUR 懿峰,75000000.0,4.0,2.0,129.79, Mid Level West, Hong Kong Island
The Riviera 滿湖花園,75000000.0,5.0,3.5,205.13, Sai Kung, New Territories East
Estoril Court 愛都大廈,74980000.0,5.0,3.0,268.3, Mid Level Central, Hong Kong Island
MARINELLA 深湾九號,74000000.0,4.0,3.0,167.88, Aberdeen/Ap Lei Chau, Hong Kong Island
Regence Royale 富匯豪庭,74000000.0,4.0,3.0,167.69, Mid Level Central, Hong Kong Island
